110.25 101 
-10 -10 5.21502e-310 
-10 -10.27 0.1 
-10.0027 -10.5387 0.202433 
-10.0081 -10.8062 0.307309 
-10.016 -11.0726 0.414639 
-10.0266 -11.3378 0.524437 
-10.0397 -11.602 0.636718 
-10.0553 -11.8651 0.751501 
-10.0734 -12.1272 0.868804 
-10.094 -12.3884 0.98865 
-10.1169 -12.6486 1.11106 
-10.1422 -12.908 1.23606 
-10.1699 -13.1666 1.36368 
-10.1999 -13.4243 1.49395 
-10.2321 -13.6812 1.62689 
-10.2666 -13.9374 1.76254 
-10.3033 -14.1928 1.90093 
-10.3422 -14.4475 2.0421 
-10.3833 -14.7016 2.18607 
-10.4264 -14.9549 2.33289 
-10.4717 -15.2075 2.48259 
-10.5191 -15.4596 2.63522 
-10.5685 -15.7109 2.79082 
-10.6199 -15.9616 2.94941 
-10.6733 -16.2117 3.11106 
-10.7287 -16.4611 3.2758 
-10.786 -16.7099 3.44367 
-10.8453 -16.9581 3.61472 
-10.9064 -17.2056 3.78899 
-10.9694 -17.4524 3.96654 
-11.0342 -17.6986 4.14741 
-11.1009 -17.9441 4.33164 
-11.1693 -18.1889 4.51928 
-11.2395 -18.433 4.71039 
-11.3114 -18.6763 4.905 
-11.3851 -18.9189 5.10318 
-11.4604 -19.1606 5.30496 
-11.5374 -19.4016 5.51041 
-11.6161 -19.6416 5.71956 
-11.6963 -19.8808 5.93246 
-11.7782 -20.119 6.14918 
-11.8616 -20.3563 6.36974 
-11.9465 -20.5925 6.59421 
-12.033 -20.8276 6.82264 
-12.1209 -21.0616 7.05506 
-12.2103 -21.2944 7.29154 
-12.3012 -21.526 7.5321 
-12.3934 -21.7563 7.77681 
-12.487 -21.9851 8.02571 
-12.582 -22.2126 8.27884 
-12.6783 -22.4385 8.53624 
-12.7759 -22.6628 8.79796 
-12.8748 -22.8855 9.06404 
-12.9749 -23.1064 9.33451 
-13.0762 -23.3255 9.60942 
-13.1787 -23.5426 9.88881 
-13.2824 -23.7578 10.1727 
-13.3871 -23.9708 10.4611 
-13.4929 -24.1816 10.7541 
-13.5998 -24.3901 11.0517 
-13.7077 -24.5962 11.354 
-13.8166 -24.7998 11.6608 
-13.9265 -25.0008 11.9724 
-14.0372 -25.199 12.2886 
-14.1488 -25.3943 12.6096 
-14.2613 -25.5867 12.9353 
-14.3745 -25.7759 13.2657 
-14.4885 -25.962 13.6008 
-14.6033 -26.1446 13.9407 
-14.7187 -26.3238 14.2853 
-14.8347 -26.4993 14.6347 
-14.9514 -26.6711 14.9888 
-15.0686 -26.839 15.3476 
-15.1863 -27.0028 15.7111 
-15.3044 -27.1624 16.0792 
-15.423 -27.3177 16.4521 
-15.542 -27.4685 16.8295 
-15.6612 -27.6146 17.2116 
-15.7808 -27.756 17.5981 
-15.9005 -27.8923 17.9892 
-16.0204 -28.0236 18.3847 
-16.1405 -28.1496 18.7847 
-16.2606 -28.2702 19.1889 
-16.3807 -28.3852 19.5974 
-16.5007 -28.4945 20.0102 
-16.6206 -28.5978 20.427 
-16.7404 -28.6951 20.8478 
-16.86 -28.7861 21.2726 
-16.9792 -28.8708 21.7012 
-17.0981 -28.9489 22.1335 
-17.2167 -29.0202 22.5695 
-17.3347 -29.0847 23.0089 
-17.4522 -29.1421 23.4517 
-17.5691 -29.1924 23.8978 
-17.6853 -29.2352 24.347 
-17.8008 -29.2706 24.7991 
-17.9155 -29.2983 25.254 
-18.0293 -29.3182 25.7115 
-18.1422 -29.3302 26.1716 
-18.2541 -29.334 26.6339 
-18.3649 -29.3296 27.0983 
-18.4746 -29.3168 27.5647 
-10 -8 0 
-9.98 -8.272 0.08 
-9.96292 -8.54237 0.162341 
-9.94871 -8.81117 0.247015 
-9.93734 -9.07847 0.334016 
-9.92875 -9.34431 0.423341 
-9.92291 -9.60877 0.51499 
-9.91976 -9.87189 0.608964 
